medical_specialty,cluster
allergy / immunology,5
bariatrics,8
bariatrics,8
cardiovascular / pulmonary,1
cardiovascular / pulmonary,1
bariatrics,8
bariatrics,6
cardiovascular / pulmonary,12
bariatrics,5
cardiovascular / pulmonary,1
bariatrics,8
cardiovascular / pulmonary,1
bariatrics,8
dentistry,5
bariatrics,5
cardiovascular / pulmonary,16
bariatrics,5
urology,5
general medicine,4
urology,6
bariatrics,8
urology,12
urology,5
urology,5
urology,6
urology,5
urology,5
urology,5
urology,6
urology,17
urology,5
urology,5
urology,6
urology,6
urology,6
urology,6
urology,5
urology,5
urology,6
urology,5
urology,6
urology,5
urology,6
urology,6
urology,6
urology,6
urology,6
urology,12
urology,5
urology,6
urology,6
urology,6
urology,6
urology,6
urology,6
urology,6
urology,6
urology,6
urology,6
urology,5
urology,6
urology,15
urology,6
urology,6
urology,15
urology,15
urology,5
urology,5
urology,12
urology,12
urology,5
urology,5
urology,6
urology,12
urology,6
urology,5
urology,5
urology,5
urology,12
urology,5
urology,15
urology,15
urology,15
urology,6
urology,15
urology,15
urology,15
urology,15
urology,15
urology,15
urology,15
urology,15
urology,15
urology,15
urology,15
urology,15
urology,6
urology,6
urology,10
urology,6
urology,6
urology,5
urology,6
urology,5
urology,6
urology,5
urology,6
urology,6
urology,6
urology,6
urology,12
urology,12
urology,5
urology,5
urology,5
urology,5
urology,6
urology,6
urology,6
urology,5
urology,5
urology,6
urology,6
urology,6
urology,6
urology,5
urology,6
urology,6
urology,6
urology,5
urology,6
urology,5
urology,12
urology,6
urology,6
urology,12
urology,12
urology,6
urology,6
urology,5
urology,6
urology,6
urology,6
urology,12
urology,12
urology,5
urology,5
urology,6
urology,12
urology,6
urology,12
urology,6
urology,6
urology,6
urology,6
urology,6
urology,12
urology,5
urology,17
surgery,4
surgery,6
surgery,4
surgery,5
surgery,4
surgery,4
surgery,5
surgery,14
surgery,10
surgery,4
surgery,10
surgery,5
surgery,6
surgery,10
surgery,10
surgery,10
surgery,6
surgery,6
surgery,5
surgery,6
surgery,5
surgery,17
surgery,12
surgery,5
surgery,11
surgery,5
surgery,5
surgery,5
surgery,5
surgery,14
surgery,9
surgery,4
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,5
surgery,11
surgery,14
surgery,5
surgery,4
surgery,4
surgery,14
surgery,14
surgery,5
surgery,16
surgery,9
surgery,5
surgery,9
surgery,5
surgery,5
surgery,5
surgery,5
surgery,6
surgery,9
surgery,6
surgery,0
surgery,5
surgery,4
surgery,4
surgery,6
surgery,5
surgery,4
surgery,5
surgery,4
surgery,5
surgery,5
surgery,5
surgery,6
surgery,12
surgery,5
surgery,9
surgery,5
surgery,5
surgery,9
surgery,12
surgery,16
surgery,11
surgery,5
surgery,5
surgery,6
surgery,10
surgery,5
surgery,5
surgery,6
surgery,10
surgery,5
surgery,5
surgery,9
surgery,17
surgery,6
surgery,6
surgery,5
surgery,6
surgery,5
surgery,16
surgery,4
surgery,5
surgery,9
surgery,5
surgery,4
surgery,9
surgery,16
surgery,9
surgery,9
surgery,9
surgery,12
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,5
surgery,9
surgery,9
surgery,16
surgery,4
surgery,9
surgery,5
surgery,5
surgery,5
surgery,12
surgery,5
surgery,5
surgery,15
surgery,14
